"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7513","US14-Zube #12: Borra el solicitante creado","","Mon Jun 30 18:01:26 CEST 2025","passed","Mon Jun 30 18:01:33 CEST 2025","","Test Suite","Test Suite","US14-Zube #12: Borra el solicitante creado"
"","8902","US12-Zube #12: Intenta asignar solicitante sin tit insuficiente","","Mon Jun 30 18:01:10 CEST 2025","passed","Mon Jun 30 18:01:19 CEST 2025","","Test Suite","Test Suite","US12-Zube #12: Intenta asignar solicitante sin tit insuficiente"
"","3881","US01-Zube #11 -  Inicio de sesión con user01","","Mon Jun 30 17:59:41 CEST 2025","passed","Mon Jun 30 17:59:45 CEST 2025","","Test Suite","Test Suite","US01-Zube #11 -  Inicio de sesión con user01"
"","2702","US03-Zube #11: Login y desplegar Administracion","","Mon Jun 30 17:59:46 CEST 2025","passed","Mon Jun 30 17:59:49 CEST 2025","","Test Suite","Test Suite","US03-Zube #11: Login y desplegar Administracion"
"","23753","US14-Zube #15: Crear un contrato de un solicitante y nóminas asociadas","","Tue Jul 08 22:53:30 CEST 2025","passed","Tue Jul 08 22:53:54 CEST 2025","","Test Suite","Test Suite","US14-Zube #15: Crear un contrato de un solicitante y nóminas asociadas"
"","4108","US05-Zube #11: Login y desplegar Proyectos","","Mon Jun 30 17:59:54 CEST 2025","passed","Mon Jun 30 17:59:59 CEST 2025","","Test Suite","Test Suite","US05-Zube #11: Login y desplegar Proyectos"
"","8754","US08-Zube #11: Borrar Responsable creado","","Mon Jun 30 18:00:17 CEST 2025","passed","Mon Jun 30 18:00:26 CEST 2025","","Test Suite","Test Suite","US08-Zube #11: Borrar Responsable creado"
"","8229","US13-Zube #12: Intenta asignar solicitante sin tit suficiente","","Mon Jun 30 18:01:18 CEST 2025","passed","Mon Jun 30 18:01:26 CEST 2025","","Test Suite","Test Suite","US13-Zube #12: Intenta asignar solicitante sin tit suficiente"
"","15672","US09-Zube #12: Crear una nueva convocatoria","","Mon Jun 30 18:00:33 CEST 2025","passed","Mon Jun 30 18:00:49 CEST 2025","","Test Suite","Test Suite","US09-Zube #12: Crear una nueva convocatoria"
"","4113","US04-Zube #11: Login y desplegar Responsable","","Mon Jun 30 17:59:50 CEST 2025","passed","Mon Jun 30 17:59:54 CEST 2025","","Test Suite","Test Suite","US04-Zube #11: Login y desplegar Responsable"
"","37567","US16-Zube #15: Se validan fechas de ini fin contrato","","Wed Jul 09 19:28:30 CEST 2025","passed","Wed Jul 09 19:29:07 CEST 2025","","Test Suite","Test Suite","US16-Zube #15: Se validan fechas de ini fin contrato"
"","6203","US17-Zube #15: Comprobación de si se han creado las nóminas del contrato","","Thu Jul 10 17:20:16 CEST 2025","passed","Thu Jul 10 17:20:22 CEST 2025","","Test Suite","Test Suite","US17-Zube #15: Comprobación de si se han creado las nóminas del contrato"
"","9838","US07-Zube #11: Crear un Nuevo Responsable","","Mon Jun 30 18:00:08 CEST 2025","passed","Mon Jun 30 18:00:18 CEST 2025","","Test Suite","Test Suite","US07-Zube #11: Crear un Nuevo Responsable"
"","15670","US11-Zube #12: Crea solicitante en conv cerrada","","Mon Jun 30 18:01:01 CEST 2025","passed","Mon Jun 30 18:01:17 CEST 2025","","Test Suite","Test Suite","US11-Zube #12: Crea solicitante en conv cerrada"
"","2302","US02-Zube #11: Inicio de sesión con user erróneo","","Mon Jun 30 17:59:43 CEST 2025","passed","Mon Jun 30 17:59:45 CEST 2025","","Test Suite","Test Suite","US02-Zube #11: Inicio de sesión con user erróneo"
"","3699","US06-Zube #11: Login y desplegar Solicitante","","Mon Jun 30 17:59:58 CEST 2025","passed","Mon Jun 30 18:00:02 CEST 2025","","Test Suite","Test Suite","US06-Zube #11: Login y desplegar Solicitante"
"","11887","US10-Zube #12: Borrar convocatoria creada","","Mon Jun 30 18:00:45 CEST 2025","passed","Mon Jun 30 18:00:57 CEST 2025","","Test Suite","Test Suite","US10-Zube #12: Borrar convocatoria creada"
